,topic_title,cluster_number
0,"AfD: Protest gegen das politische Establishment, Einwanderungskontrolle und nationale Identität",0
1,"Kritik an der aktuellen deutschen Regierung: Fehlende Kompetenz, fehlerhafte Gesetzgebung und Missmanagement",1
2,"Kritik an politischer Korrektheit und Meinungsfreiheit: Tabubruch und provokante Aussagen, Angriff auf etablierte Normen und Werte.",2
3,"Herausforderungen der Einwanderungspolitik: Identität, Kriminalität und Integration",3
4,Hohe Energiepreise und steigende Kosten: Belastung für Bürger und Wirtschaft,4
5,"Gemeinschaftliche Unterstützung und Aufruf zur Veränderung: Solidarität, Zusammenhalt und Engagement in verschiedenen Bereichen",5
6,Gewaltkriminalität und Sicherheit in Deutschland: Herausforderungen und Forderungen,6
7,"Verteidigung der deutschen Identität: Stärkung der Kultur, Sicherung der Grenzen und Ablehnung von Einmischung",7
8,"Analyse der TikTok-Videos: Kritik am politischen Establishment, ideologische Unterschiede zwischen Parteien und Forderung nach Veränderung in Deutschland",8
9,Einschränkung der Meinungsfreiheit und Kritik am politischen Establishment,9
10,Verschwendung von Steuergeldern und Kritik an staatlicher Ausgabenpolitik,10
11,"Die Krise Deutschlands: Wirtschaftlicher Niedergang, politisches Versagen und internationale Herausforderungen",11
12,Migration und Integration: Kritik an der Migrationspolitik und Forderung nach konsequenter Abschiebung,12
13,"Das Rentensystem und die Ungleichheit in Deutschland: Rentenkürzungen, Altersarmut und finanzielle Privilegien der Politiker.",13
14,Proteste gegen die aktuelle Regierungspolitik und Forderung nach Veränderung,14
15,Forderung nach politischem Wandel und Regierungsrücktritt: Kritik an der aktuellen Regierung und Forderung nach Veränderung,15
16,Unzufriedenheit mit der aktuellen Regierung und Forderung nach Veränderung,16
17,"Gesellschaftliche Kontroversen: Vielfältige Themen, verschiedene Standpunkte",17
18,"Russland-Ukraine-Konflikt: Kriegsgefahr, geopolitische Spannungen und finanzielle Unterstützung",18
19,Klimawandel und Energiepolitik: Kritik an Maßnahmen und Ideologie,19
20,Medienmanipulation und Kritik an öffentlich-rechtlichen Medien,20
21,Landwirte protestieren gegen unrealistische Auflagen und niedrige Preise,21
22,"Wirtschaftliche Unsicherheit und gesellschaftliche Herausforderungen: Probleme in der Arbeitswelt, fehlende Fachkräfte und finanzielle Belastungen",22
23,Die Grünen: Kritik an Klimapolitik und Regierungsverantwortung,23
